"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","도로명주소코드","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"8018","1168000000","80","서울특별시","강남구","세곡중학교 운동장","1168011200105650004000002","1168011200","1168070000","서울특별시 강남구 자곡동 617-0","2433","127.092497","37.471622","208182.221302","541358.545073"
"8019","1168000000","126","서울특별시","강남구","중산고등학교 운동장","1168011400107140000026344","1168011400","1168072000","서울특별시 강남구 일원동 714-0","10763","127.080595","37.485340","207128.015843","542880.093748"
"8020","1168000000","127","서울특별시","강남구","로봇고등학교 운동장","1168011400107380000003094","1168011400","1168072000","서울특별시 강남구 일원동 738-0","8640","127.084249","37.480406","207451.665605","542332.793581"
"8021","1168000000","93","서울특별시","강남구","왕북초등학교 운동장","1168011500107450000001682","1168011500","1168072000","서울특별시 강남구 수서동 745-0","3074","127.086721","37.486065","207669.806137","542961.007829"
"8022","1168000000","94","서울특별시","강남구","대왕중학교 운동장","1168011500107500000001722","1168011500","1168072000","서울특별시 강남구 수서동 750-0","9069","127.087372","37.483042","207727.657978","542625.558544"
"8023","1168000000","118","서울특별시","강남구","대청초등학교 운동장","1168011400107120000002155","1168011400","1168073000","서울특별시 강남구 일원동 712-0","6357","127.087910","37.492732","207774.275050","543701.093356"
"8024","1168000000","119","서울특별시","강남구","영희초등학교 운동장","1168011400106170000002279","1168011400","1168073000","서울특별시 강남구 일원동 617-0","10545","127.081205","37.491821","207181.390323","543599.458651"
"8025","1168000000","95","서울특별시","강남구","수서중학교 운동장","1168011500107100000001357","1168011500","1168075000","서울특별시 강남구 수서동 710-0","2728","127.102691","37.490760","209081.651770","543483.580993"
"8026","1168000000","50","서울특별시","강남구","언북중학교 운동장","1168010800100690000005359","1168010800","1168053100","서울특별시 강남구 논현동 69-0","6136","127.033293","37.518890","202943.226601","546601.206769"
"8027","1171000000","11","서울특별시","송파구","풍성초등학교 운동장","1171010300103880016025059","1171010300","1171052000","서울특별시 송파구 풍납동 388-16","6240","127.113134","37.525989","210000.456579","547394.563651"
"8028","1171000000","98","서울특별시","송파구","영파여자중학교운동장","1171010300105010000025255","1171010300","1171052000","서울특별시 송파구 풍납동 501-0","5385","127.120344","37.532696","210636.871657","548139.765484"
"8029","1171000000","78","서울특별시","송파구","서울인공지능고등학교 운동장","1171011300103540000023888","1171011300","1171053100","서울특별시 송파구 거여동 331-0","4405","127.142819","37.491357","212630.268658","543554.467541"
"8030","1171000000","12","서울특별시","송파구","영풍초등학교 운동장","1171011300100120000023233","1171011300","1171053100","서울특별시 송파구 거여동 12-0","3025","127.142869","37.495895","212633.943022","544058.115136"
"8031","1171000000","50","서울특별시","송파구","거원중학교 운동장","1171011300102960000023169","1171011300","1171053200","서울특별시 송파구 거여동 296-0","5142","127.146167","37.487676","212926.999432","543146.349596"
"8032","1171000000","13","서울특별시","송파구","거원초등학교 운동장","1171011300102960001022894","1171011300","1171053200","서울특별시 송파구 거여동 296-1","5142","127.145216","37.487896","212842.871601","543170.642049"
"8033","1171000000","14","서울특별시","송파구","마천초등학교 운동장","1171011400101830004020105","1171011400","1171054000","서울특별시 송파구 마천동 183-4","3600","127.152298","37.495313","213467.850601","543994.835708"
"11269","1144000000","4","서울특별시","마포구","아현녹지쉼터","","1144010100","1144010100","서울특별시 마포구 아현동 704-0","6745","126.962766","37.557024","196710.097874","550833.753770"
"11270","1144000000","64","서울특별시","마포구","경남아너스빌쉼터","","1144011100","1144011100","서울특별시 마포구 신수동 456-1","624","126.933657","37.548810","194137.407652","549923.518315"
"11271","1144000000","67","서울특별시","마포구","합정동보호수 정자마당","","1144012200","1144012200","서울특별시 마포구 합정동 450-6","1176","126.903011","37.551282","191429.592910","550200.172617"
"11274","1117000000","43","서울특별시","용산구","산천동 마을마당","","1117011500","1117011500","서울특별시 용산구 산천동 200","667","126.953050","37.535544","195850.423070","548450.123175"
"11275","1120000000","33","서울특별시","성동구","왕십리광장","","1120010700","1120010700","서울특별시 성동구 행당동 192-3","10067","127.037222","37.561572","203288.665105","551338.563472"
"11276","1120000000","30","서울특별시","성동구","한양광장","","1120010700","1120010700","서울특별시 성동구 행당동 20-2","2386","127.039996","37.558118","203533.901786","550955.226916"
"11277","1120000000","31","서울특별시","성동구","무지개텃밭","","1120010700","1120010700","서울특별시 성동구 행당동 76-3","6041","127.041101","37.553976","203631.741006","550495.571269"
"11279","1126000000","45","서울특별시","중랑구","상봉터미널","","1126010200","1126010200","서울특별시 중랑구 상봉동 83-1","360","127.091475","37.596145","208078.327481","555178.981850"
"11283","1174000000","35","서울특별시","강동구","동명근린공원 축구장","","1174010200","1174010200","서울특별시 강동구 고덕동 229-0","5000","127.164949","37.561768","214573.695414","551372.362516"
"11278","1121500000","35","서울특별시","광진구","광진구민체육센터","","1121510400","1121510400","서울특별시 광진구 광장동 318","1806","127.107116","37.546309","209465.922396","549649.244190"
"9749","1168000000","111","서울특별시","강남구","역삼은행나무공원","","1168010100","1168010100","서울특별시 강남구 역삼동 611-0","1647","127.031249","37.505447","202762.997690","545109.122297"
"9750","1168000000","41","서울특별시","강남구","개포서근린공원","","1168010300","1168010300","서울특별시 강남구 개포동 180-0","11219","127.063797","37.488824","205642.159558","543265.604993"
"9751","1168000000","125","서울특별시","강남구","한마음공원","","1168010300","1168010300","서울특별시 강남구 개포동 12-3","2488","127.075894","37.495786","206711.299626","544039.127903"
"9752","1168000000","137","서울특별시","강남구","청수근린공원","","1168010400","1168010400","서울특별시 강남구 청담동 134-13","17402","127.058419","37.523298","205164.129615","547091.509900"
"9753","1168000000","139","서울특별시","강남구","청담목련공원","","1168010400","1168010400","서울특별시 강남구 청담동 51-0","1642","127.049947","37.522957","204415.234996","547053.207794"
"9754","1168000000","77","서울특별시","강남구","샘터근린공원","","1168010500","1168010500","서울특별시 강남구 삼성동 16-4","1800","127.047407","37.515366","204191.113642","546210.621772"
"9755","1168000000","70","서울특별시","강남구","삼성목련공원","","1168010500","1168010500","서울특별시 강남구 삼성동 55-1","1641","127.054043","37.518573","204777.594320","546566.875811"
"9756","1168000000","71","서울특별시","강남구","삼성까치공원","","1168010500","1168010500","서울특별시 강남구 삼성동 85-0","1463","127.060710","37.518240","205367.035009","546530.272436"
"9757","1168000000","54","서울특별시","강남구","늘벗근린공원","","1168010600","1168010600","서울특별시 강남구 대치동 501-0","19812","127.057214","37.489549","205059.841094","543345.694079"
"9758","1168000000","58","서울특별시","강남구","대치근린공원","","1168010600","1168010600","서울특별시 강남구 대치동 512-0","10409","127.069921","37.495093","206183.180994","543961.757997"
"9759","1168000000","103","서울특별시","강남구","신사은행나무공원","","1168010700","1168010700","서울특별시 강남구 신사동 558","1240","127.026036","37.520584","202301.639759","546788.990358"
"9761","1168000000","51","서울특별시","강남구","논현소나무공원","","1168010800","1168010800","서울특별시 강남구 논현동 239","1820","127.037476","37.515707","203313.116528","546248.073162"
"9762","1126000000","7","서울특별시","중랑구","봉화산근린공원","","1126010600","1126010600","서울특별시 중랑구 신내동 655-2","977","127.092833","37.608277","208196.950938","556525.606280"
"9763","1126000000","74","서울특별시","중랑구","능말공원","","1126010600","1126010600","서울특별시 중랑구 신내동 214-8","19101","127.108700","37.616687","209596.848691","557460.548299"
"9764","1126000000","75","서울특별시","중랑구","능산공원","","1126010600","1126010600","서울특별시 중랑구 신내동 317-2","12350","127.097348","37.611771","208595.179846","556913.828517"
"9766","1168000000","40","서울특별시","강남구","늘푸른근린공원","","1168011400","1168011400","서울특별시 강남구 일원동 690","11410","127.077512","37.489927","206854.946742","543389.030987"
"9767","1168000000","121","서울특별시","강남구","일원까치공원","","1168011400","1168011400","서울특별시 강남구 일원동 712-4","1476","127.088213","37.492065","207801.086543","543627.115355"
"9768","1168000000","131","서울특별시","강남구","일원느티나무공원","","1168011400","1168011400","서울특별시 강남구 일원동 730-2","1826","127.077497","37.483090","206854.291115","542630.110463"
"9769","1168000000","129","서울특별시","강남구","일원장미공원","","1168011400","1168011400","서울특별시 강남구 일원동 732-4","1500","127.080772","37.480642","207144.139747","542358.752805"
"9770","1168000000","130","서울특별시","강남구","일원개나리공원","","1168011400","1168011400","서울특별시 강남구 일원동 730-3","4454","127.076425","37.482915","206759.462334","542610.626366"
"9771","1168000000","128","서울특별시","강남구","한솔근린공원","","1168011400","1168011400","서울특별시 강남구 일원동 732","12878","127.079014","37.481336","206988.606422","542435.615188"
"9772","1168000000","98","서울특별시","강남구","탄천근린공원","","1168011500","1168011500","서울특별시 강남구 수서동 722","10011","127.106520","37.487601","209420.625659","543133.309414"
"9773","1168000000","66","서울특별시","강남구","도곡목련공원","","1168011800","1168011800","서울특별시 강남구 도곡동 415-3","1709","127.044313","37.484962","203919.181973","542836.050752"
"9774","1174000000","47","서울특별시","강동구","두레근린공원","","1174010200","1174010200","서울특별시 강동구 고덕동 497-0","13549","127.152234","37.557975","213450.976373","550949.561871"
